COUNTRY CODE,NAME,ADDRESS,ZIP CODE,CITY,DESCRIPTION
UK,HSC Customer Reception,Orbital Park,TW4 6JS,Hounslow,DHL
UK,Chessington DHL Express,"50,Cox Lane",KT9 1TJ,Chessington,DHL
UK,Gatwick DHL Express,Unit 1B Meadowbrook Ind. Est,RH10 9SA,Gatwick,DHL
UK,Croydon DHL Express,Unit 5 Beddington Cross,CR0 4XH,Croydon,DHL
UK,Hemel DHL Express,Unit 2 Centro,HP2 7SU,Hemel Hempstead,DHL
UK,Vauxhall DHL Express,Unit A Ponton Road,SW8 5BA,London,DHL
UK,London North West DHL Express,Unit 29 Abbey Road Ind Est,NW10 7XF,London,DHL
UK,Aberdeen DHL Express,Aviation Services Centre,AB21 7DU,Aberdeen,DHL
UK,Edinburgh DHL Express,23 Southgyle Crescent,EH12 9EB,Edinburgh,DHL
UK,Glasgow DHL Express,West Avenue,PA1 2FB,Paisley,DHL
UK,Inverness DHL Express,"Unit 2, 18 Harbour Road",IV1 1UA,Inverness,DHL
UK,Leeds DHL Express,Unit 10 The Kirkstall Park,LS4 2AZ,Leeds,DHL
UK,Liverpool DHL Express,Riverside House,L24 8RF,Speke,DHL
UK,Manchester DHL Express,Unit 10 Fourways,M17 1SW,Manchester,DHL
UK,Newcastle DHL Express,Unit 6 Kingsway Interchange,NE11 0JY,Newcastle,DHL
UK,Sheffield DHL Express,Unit 4 Amberley Court,S9 2LQ,Sheffield,DHL
UK,Stockton On Tees DHL Express,Sedgefield Way,TS18 2SA,Stockton On tees,DHL
UK,Birmingham DHL Express,Unit 9 Maybrook Business Park,B76 1AL,Birmingham,DHL
UK,Cambridge DHL Express,Unit 1 The Linx Ind Park,CB3 8UD,Cambridge,DHL
UK,EMA DHL Express,Unit 13 Argosy Road,DE74 2SA,Castle Donnington,DHL
UK,Harlow DHL Express,16 Spire Green Centre,CM19 5TR,Harlow,DHL
UK,Ipswich DHL Express,Unit 27 Gloster Road,IP5 3RD,Ipswich,DHL
UK,Flint DHL Express,Unit 2 Heinzel Park,CH6 5EX,Flint,DHL
UK,Northampton DHL Express,7 Hartburn Close,NN3 9UE,Northampton,DHL
UK,Stoke On Trent DHL Express,Parkhouse Ind Est East,ST5 7RH,Newcatle-Under-Lyme,DHL
UK,Telford DHL Express,Unit 3 Pegasus Court,TF3 3BQ,Telford,DHL
UK,Bristol DHL Express,Lysander Road,BS10 7DD,Bristol,DHL
UK,Basildon DHL Express,5 Seax Way,SS15 6SW,Laindon,DHL
UK,Maidstone DHL Express,Unit 7 Euroway,ME20 7UB,Aylesford,DHL
UK,Newport DHL Express,Unit 14 Queensway Meadows Ind Est,NP19 4SP,Newport,DHL
UK,Oxford DHL Express,The Isis Business Centre,OX4 2RD,Oxford,DHL
UK,Reading DHL Express,Unit 4 Worton Drive,RG2 0TG,Reading,DHL
UK,Swindon DHL Express,Unit 8&9 Dunbeath Court,SN2 8EA,Swindon,DHL
UK,Exeter DHL Express,Unit C Hill Barton Business Park,EX5 1DR,Exeter,DHL
UK,Southampton DHL Express*,Unit 5 Waterloo Ind Est,SO30 2QT,Southampton,DHL
UK,Londonderry DHL Express,25 Bankmore Road,BT79 0EU,Omagh,DHL
UK,Docklands DHL Express,Unit 6-7 Pylon Trading Estate,E16 4SP,London,DHL
UK,Tewkesbury DHL Express,Unit 31 Alexandra Way,GL20 8NB,Tewkesbury,DHL
UK,Belfast DHL Express,Unit 3A,BT3 9JQ,Belfast,DHL
UK,Safestore Acton,5-10 Eastman Road,W3 7YG,London,Safestore Ltd
UK,Safestore Alexandra Palace,118 Priory Road,N8 7HP,London,Safestore Ltd
UK,Safestore Basildon,Howard Chase,SS14 3BB,Basildon,Safestore Ltd
UK,Safestore Bath,Bellotts Road,BA2 3RT,Bath,Safestore Ltd
UK,Safestore Battersea Ingate,Ingate Place,SW8 3NS,London,Safestore Ltd
UK,Safestore Battersea Lombard,19 Lombard Road,SW11 3RH,London,Safestore Ltd
UK,Safestore Bedford,Elstow Road,MK42 9QZ,Bedford,Safestore Ltd
UK,Safestore Bermondsey,24 Old Jamaica Road,SE16 4AW,London,Safestore Ltd
UK,Safestore Birmingham Central,International House,B4 7DN,Birmingham,Safestore Ltd
UK,Safestore Bolton,Nile Street Industrial Estate,BL3 6BN,Bolton,Safestore Ltd
UK,Safestore Borehamwood,Brittanic House,WD6 2BT,Borehamwood,Safestore Ltd
